Tên file PDF,Tên nhiệm vụ,Chủ nhiệm,Tổ chức chủ trì,Sản phẩm KH&CN đã tạo ra
bcth_000.00.16.G06-220516-0006.pdf,Nghiên cứu Hôn nhân và Gia đình của người Brâu,Không rõ,Không rõ,Gia đình Việt Nam trong bối cảnh đất nước đổi mới | Tìm hiểu tác phẩm: Nguồn gốc gia đình của chế độ tư hữu và của nhà nước | Gia đình học | Văn hoá gia đình Vi ệt Nam
bcth_000.00.16.G06-221004-0001.pdf,"NGHIÊN CỨU XÂY DỰNG DANH MỤC PHÂN LOẠI BỘ PHẬN CÔNG TRÌNH VÀ CHỈ DẪN YÊU CẦU THÔNG TIN ĐỐI VỚI BỘ PHẬN CÔNG TRÌNH PHỤC VỤ ÁP DỤNG BIM CHO CÔNG TRÌNH XÂY DỰNG DÂN DỤNG, HẠ TẦNG KỸ THUẬT ĐÔ THỊ",TS. Tạ Ngọc Bình,BỘ XÂY DỰNG / VIỆN KINH TẾ XÂY DỰNG,
bcth_000.00.16.G06-221031-0009.pdf,Nghiệm thu hạng mục hệ thống điện,Bên A,Công ty TNHH Điện lực Thành phố Hồ Chí Minh,High Performance Work System Scale
bcth_000.00.16.G06-221209-0009.pdf,PH T HUY VỐN XÃ HỘI CỦA NGƯỜI DÂN Ở MIỀN TÂY NGHỆ AN TRONG PH T TRIỂN KINH TẾ,PGS. TS. NGUYỄN THỊ HOÀI LÊ,VĂN PHÒNG VIỆN HÀN LÂM KHXH VIỆT NAM,giống lúa Japonica J02 nguyên chủng | quy trình kỹ thuật sản xuất giống lúa Japonica J02 xác nhận | quy trình kỹ thuật thâm canh lúa chất lượng Japonica J02 | quy trình kỹ thuật thu hoạch và chế biến gạo Japonica J02 thương phẩm đạt chất lượng cao
bcth_000.00.16.G06-221220-0012.pdf,Nghiên cứu về hoạt động tế tự tại làng xã,"Không rõ (Đề tài được triển khai trên cơ sở nguồn tư liệu phong phú, khả tín là các văn bản tục lệ Hán Nôm tại Hà Đông)",Không rõ,Văn bản tục lệ Hán Nôm tỉnh Hà Đông | Phương pháp văn bản học | Thống kê định lượng | Mô tả phân tích | Điền dã | Liên ngành
bcth_000.00.16.G06-230427-0008.pdf,"Nghiên cứu cơ sở khoa học và thực tiễn cập nhật các phương pháp tiên tiến ứng dụng trong quan trắc, dự báo chất lượng môi trường và đánh giá tác động của các chất ô nhiễm trong thành phần môi trường đến sức khỏe con người.",TS. Phạm Bá Việt Anh,Trường Đại học Tài nguyên và Môi trường Hà Nội,"tài liệu phục vụ giảng dạy đại học, sau đại học | dự thảo hướng dẫn kỹ thuật phương pháp quan trắc, dự báo chất lượng môi trường, đánh giá tác động của ô nhiễm môi trường đến sức khỏe | tài liệu hướng dẫn phục vụ giảng dạy (04 tài liệu về một số phương pháp tiên tiến trong quan trắc chất lượng môi trường và nguồn thải)"
bcth_000.00.16.G06-230517-0005.pdf,Nghiên cứu xác định xác suất đồng thời các tác động của điều kiện tự nhiên cực trị để thiết kế tối ưu công trình cảng biển ở khu vực Miền Trung - Việt Nam,ThS. Nguyễn Đức Hậu,Viện KH&CN GTVT,
bcth_000.00.16.G06-230714-0009.pdf,NGHIÊN CỨU ỨNG DỤNG TRÍ TUỆ NHÂN TẠO DỰ ĐOÁN SỨC KHÁNG CẮT CỦA KẾT CẤU DẦM BÊ TÔNG CỐT THANH FRP,TS. LÊ HOÀNG ANH,VIỆN KHOA HỌC VÀ CÔNG NGHỆ GTVT,Công cụ số XGB_DT223033.pkl | Công cụ số DT223033.ipynb | Bộ cơ sở dữ liệu dự đoán sức kháng cắt của dầm bê tông cốt thanh FRP | Bài báo khoa học (02 bài)
bcth_000.00.16.G06-230714-0010.pdf,"Tính chất điện, từ và chuyển pha trong các tinh thể hai chiều đa lớp",PGS. TS. Bạch Hương,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Hà Nội,"mô hình hóa các tương tác trong các hệ từ (sắt điện) đa lớp dựa trên kết quả tính toán sơ bộ của nguyên lý đầu | mô hình vật liệu cụ thể, đối tượng quan tâm của đề tài thường có cấu trúc mẹ thuộc hệ perovskite ABO3. Sử dụng mô hình đã được thiết kế, đặt các tham số đầu vào thích hợp cho chương trình tính toán nguyên lý ban đầu (thông qua phần mềm có sẵn như Quantum Espresso,...) để đưa ra được cấu trúc vùng năng lượng, hằng số mạng, mật độ trạng thái, … của hệ vật liệu ở trạng thái cơ bản | cơ chế hoạt động, cạnh tranh tương tác trong các hệ tinh thể 2D ảnh hưởng đến sự hình thành các pha từ (sắt điện) với độ dày màng được thay đổi | sự ảnh hưởng của các tham số vật lý như trường ngoài, trường nội, sự bất đẳng hướng, tạp chất … lên các tính chất điện và từ của hệ tinh thể 2D khi hệ ở các pha khác nhau | cấu trúc điện tử của các hệ màng mỏng đa lớp có xuất hiên các trật tự sắt từ hoặc sắt điện ở nhiệt độ hữu hạn bằng phương pháp nguyên lý ban đầu sử dụng lý thuyết phiếm hàm mật độ | cấu trúc vùng năng lượng, mật độ trạng thái, phân bố điện tích, năng lượng cơ bản … | mô hình hóa các tương tác để giải quyết bài toán tương quan điện tử, tương tác spin, tương tác spin - quỹ đạo bằng các phương pháp giải tích kết hợp phương pháp số gần đúng | các tính chất nhiệt động học như nhiệt dung riêng, năng lượng tự do, độ cảm spin, độ từ hóa … | bài toán khi có trường ngoài đặt vào hoặc khi có ứng suất tác dụng do ảnh hưởng thực tế của đế khi nghiên cứu hệ màng mỏng | các ảnh hưởng của tạp chất gây ra hoặc sự bất đẳng hướng, độ dày của lớp cũng được xem xét đến như là một tham số đầu vào ảnh hưởng đến quá trình chuyển pha cũng như các tính chất điện và từ của hệ tinh thể 2D | phương pháp nguyên lý ban đầu dựa trên phiếm hàm mật độ là phương pháp rất đáng tin cậy, đã được sử dụng rộng rãi và được coi như là một bước trung gian giữa thực nghiệm và lý thuyết (bán thực nghiệm) | mô hình hóa vật liệu thông qua các số hạng tương tác và được biểu diễn thông qua các Hamiltonian. Việc giải quyết bài toán Schrodinger để tìm các trạng thái năng lượng dừng và khảo sát các tính chất điện, từ, hoặc sự hình thành các pha chuyển pha | các phương pháp chéo hóa ma trận chính xác, hàm Green, phương pháp trường trung bình động, tích phân phiếm hàm … | nghiên cứu tính chất động học của hệ các spin có cạnh tranh tương tác sắt từ và phản sắt từ, được miêu tả thông qua mô hình mất trật tự Ising. Sử dụng mô phỏng Monte Carlo | các kết quả biểu diễn sự phụ thuộc từ độ, nhiệt dung riêng, năng lượng và độ cảm spin theo nhiệt độ đều cho thấy sự tồn tại của chuyển pha sắt từ - thuận từ"
bcth_000.00.16.G06-230718-0010.pdf,Nghiên cứu đặc điểm hệ gen người Việt Nam liên quan đến lây nhiễm và diễn biến của bệnh nhân COVID-19,Nguyễn Hải Hà,Viện Nghiên cứu hệ gen,
